ip_origem,tentativas_total,falhas,usuarios_distintos,intervalo_medio_seg,fracao_noturna,usuarios_inexistentes,sucesso_apos_falhas,portas_distintas,label
10.167.247.77,7,2,1,3246.7,0.326,0,1,2,benigno
10.150.85.49,9,0,1,3971.1,0.038,0,0,1,benigno
10.197.165.65,8,1,1,4069.9,0.49,0,0,1,benigno
10.224.190.222,5,1,1,3795.9,0.038,0,0,2,benigno
10.171.145.87,5,1,1,4997.1,0.111,0,0,1,benigno
10.219.124.74,213,197,26,0.5,0.704,18,0,2,brute_force
10.175.201.102,8,2,3,3320.5,0.27,0,1,1,benigno
10.57.55.127,203,181,29,0.8,0.751,9,1,2,brute_force
10.18.103.44,8,1,2,5365.2,0.273,0,0,1,benigno
10.83.118.108,214,208,30,3.2,0.555,14,0,1,brute_force
10.97.174.28,6,0,1,3275.0,0.127,0,0,1,benigno
10.16.51.164,208,188,32,6.1,0.424,8,0,2,brute_force
10.23.21.184,4,1,2,1883.0,0.202,0,0,1,benigno
10.222.31.223,9,1,1,4625.0,0.059,0,1,1,benigno
10.74.183.2,3,1,2,2240.0,0.236,0,1,1,benigno
10.106.41.193,8,0,3,2998.3,0.113,0,1,1,benigno
10.140.67.176,9,6,3,2043.8,0.069,0,1,2,benigno
10.47.239.57,4,0,2,2229.9,0.215,0,0,1,benigno
10.154.47.54,6,2,3,4080.2,0.124,0,1,1,benigno
10.168.24.86,4,1,1,2096.1,0.063,0,0,1,benigno
10.96.117.11,5,2,3,2124.3,0.302,0,0,1,benigno
10.85.80.178,7,1,1,3296.9,0.235,0,0,1,benigno
10.242.209.122,187,163,25,2.6,0.406,9,0,3,brute_force
10.114.43.220,6,0,2,4375.8,0.096,0,1,1,benigno
10.197.28.81,4,0,1,4283.6,0.308,0,1,1,benigno
10.87.45.187,10,0,2,978.0,0.098,0,0,1,benigno
10.81.236.140,212,207,27,3.9,0.876,14,0,2,brute_force
10.116.241.232,9,0,1,4192.5,0.003,0,0,1,benigno
10.57.148.241,210,199,24,4.5,0.504,12,0,1,brute_force
